id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
505101,Unique neighborhood cottage,2490712,Stacie,,Bozeman,45.67934,-111.04756,Entire home/apt,160,3,211,3/6/2023,1.63,1,247,31,
1913774,Downtown Bozeman Vacation Rental,9892898,Brian,,Bozeman,45.68399,-111.03989,Entire home/apt,126,3,396,3/27/2023,3.47,1,231,40,
1950545,Northside Hideaway,8224408,Paul,,Bozeman,45.6843,-111.03167,Entire home/apt,167,3,35,10/26/2022,0.32,19,319,3,
2390321,2 Blocks 2 Main,7849959,Irene,,Bozeman,45.67429,-111.03419,Entire home/apt,150,3,41,1/1/2023,0.49,2,357,3,
2536175,Modern Home Near Campus & Downtown,8287259,Kris And Alex,,Bozeman,45.66459,-111.0391,Entire home/apt,156,3,248,4/2/2023,2.32,1,297,33,
2839082,"Charming downtown home, Bogart park",1577112,Zack,,Bozeman,45.67517,-111.03342,Entire home/apt,514,2,63,10/2/2022,0.71,1,344,6,
2968623,Sunny Bozeman MSU Cottage,15146634,Frances,,Bozeman,45.67236,-111.04979,Entire home/apt,125,3,166,3/26/2023,1.77,1,3,20,
4008507,"The Loft: near MSU, private entry, kitchen & bath",20738079,Lori,,Bozeman,45.66932,-111.04256,Entire home/apt,158,1,189,4/2/2023,1.98,1,286,47,
4116964,"Bozeman Trails, 2 min to downtown.",7722453,Rachel,,Bozeman,45.65909,-111.01448,Private room,75,4,71,10/20/2022,0.69,3,83,7,
4134363,Yellow Dogs Cottage: Unique Large Downtown Cottage,21447984,Sharon,,Bozeman,45.6702,-111.04073,Entire home/apt,265,4,81,10/3/2022,0.79,1,246,9,
6662056,Modern Loft-House: Big Sky Country,34871220,Ehson,,Bozeman,45.66051,-111.02333,Entire home/apt,399,3,152,3/20/2023,1.63,1,257,23,
6783856,Remote Worker's Dream,35514344,Janette,,Bozeman,45.67985,-111.08666,Entire home/apt,175,28,15,3/7/2021,0.16,1,207,0,
6800497,Your Private Suite 1 block from heart of Downtown,16264310,Kent,,Bozeman,45.67852,-111.0348,Entire home/apt,164,2,309,4/3/2023,3.49,1,335,51,
6881306,Downtown Victorian Apartment - Little Pink Houses,36057505,Kathi,,Bozeman,45.68118,-111.03996,Entire home/apt,136,29,56,11/3/2022,0.81,1,177,6,
6970499,Downtown Red Chair Retreat,36548325,Doug,,Bozeman,45.68094,-111.04362,Entire home/apt,75,3,332,3/25/2023,3.73,2,39,33,
7480329,"Near Downtown, For Extended Stays - 30 days min.",3437116,Jill,,Bozeman,45.67166,-111.03128,Entire home/apt,187,14,9,12/12/2021,0.11,1,240,0,
7694423,Heron's Nest,40166238,Sunny,,Bozeman,45.68181,-111.0953,Entire home/apt,122,28,28,2/26/2023,0.3,2,312,10,
7809335,Modern Farmhouse in Historic Downtown Bozeman,18706726,Otto,,Bozeman,45.67271,-111.03633,Entire home/apt,999,3,59,8/28/2022,0.64,1,183,2,
7855037,Bozeman Getaway in Ideal Location,14843944,Laura,,Bozeman,45.70654,-111.0227,Entire home/apt,299,2,148,3/18/2023,1.61,1,278,15,
8016791,"Happy, Healthy, Home in the Heart of Downtown BZN!",19523133,Pele,,Bozeman,45.68367,-111.03269,Entire home/apt,272,2,155,3/31/2023,1.8,2,211,22,
8131484,Story Street Rental Apartment,42939495,Mary,,Bozeman,45.67562,-111.05268,Entire home/apt,165,3,178,4/2/2023,2.04,1,218,24,
8248642,Welcome to the Bozeman Treehouse on Main Street,23268299,Jenny,,Bozeman,45.67866,-111.0223,Entire home/apt,295,3,45,4/2/2023,0.62,1,202,13,
8471627,Downtown Digs (3 blocks from the center of DT),44596719,Jade,,Bozeman,45.68157,-111.03424,Entire home/apt,137,1,598,4/7/2023,8.03,2,257,101,
8522409,"Stroll to Meyers Lake from an Airy, Two-bedroom Guesthouse",44874042,Amy,,Bozeman,45.67903,-111.10261,Entire home/apt,161,3,227,3/7/2023,2.69,1,290,32,
8616625,Historic University District Home,32568100,Andrew,,Bozeman,45.67499,-111.04641,Entire home/apt,200,2,169,3/12/2023,1.87,1,97,24,
9131418,"Bozeman On Trails, near Downtown",7722453,Rachel,,Bozeman,45.66121,-111.01632,Entire home/apt,400,30,3,6/25/2021,0.05,3,84,0,
9588650,Downtown Urban Chic,49630888,Amy,,Bozeman,45.682587,-111.041031,Entire home/apt,170,1,441,2/28/2023,4.93,1,176,31,
9615182,Treasure State Hostel 6 Bed Dorm (Room 7),49746531,Nina,,Bozeman,45.6801,-111.03611,Hotel room,28,1,286,3/29/2023,3.2,5,324,61,
9615473,Treasure State Hostel Single Private Room,49746531,Nina,,Bozeman,45.67899,-111.03531,Hotel room,48,1,196,3/10/2023,2.24,5,269,42,
9739788,"Treasure State Hostel 4 Bed Dorm ""A""",49746531,Nina,,Bozeman,45.67957,-111.03632,Hotel room,35,1,160,3/27/2023,1.96,5,327,52,
9740033,"Treasure State Hostel 3 Bed Dorm ""B""",49746531,Nina,,Bozeman,45.67906,-111.03545,Shared room,30,1,74,3/5/2023,0.87,5,349,10,
9882706,"Private, spacious, winter activity hideaway",50844446,Jaymie,,Bozeman,45.71358,-111.08007,Entire home/apt,150,28,6,9/26/2022,0.63,2,194,6,
10194083,Blue Willow Guest House,52362737,Terra,,Bozeman,45.67552,-111.03353,Entire home/apt,249,3,114,2/27/2023,1.34,1,96,18,
10282173,Charming Campus Home,8979185,Laura,,Bozeman,45.67211,-111.04605,Entire home/apt,250,30,1,1/30/2023,0.42,1,117,1,
10616342,Treasure State Hostel Queen Bed,49746531,Nina,,Bozeman,45.67908,-111.03689,Hotel room,70,1,118,3/28/2023,1.41,5,267,50,
11337733,Colburn House Studio with Sun,59339691,Allison,,Bozeman,45.68087,-111.04582,Entire home/apt,128,2,399,3/19/2023,4.65,1,283,58,
11379100,Garden Cottage,8224408,Paul,,Bozeman,45.6822,-111.0293,Entire home/apt,114,4,120,4/4/2023,1.39,19,327,22,
11394263,Kelly's MT Retreat,59781492,Andrew,,Bozeman,45.6923,-111.08861,Entire home/apt,133,30,7,3/10/2023,0.09,1,285,2,
12155819,Happy Trails Vacation Condo,21848555,Barry,,Bozeman,45.68625,-111.06349,Entire home/apt,180,30,10,8/23/2022,0.12,1,284,5,
12675495,"Bridger guesthouse, 1/2 way between MSU/Downtown!",68872256,Meagan And Michael,,Bozeman,45.66973,-111.0346,Entire home/apt,153,2,411,3/22/2023,4.97,2,259,33,
