id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5456,Guesthouse in Austin · ★4.84 · 1 bedroom · 2 beds · 1 bath,8028,Sylvia,,78702,30.26057,-97.73441,Entire home/apt,126,2,657,8/27/2023,3.72,1,306,42,
5769,Home in Austin · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,8186,Elizabeth,,78729,30.45697,-97.78422,Private room,45,1,290,8/4/2023,1.77,1,0,21,
6413,Guesthouse in Austin · ★4.97 · Studio · 1 bed · 1 bath,13879,Todd,,78704,30.24885,-97.73587,Entire home/apt,57,30,122,10/17/2022,0.73,1,0,3,
6448,Guesthouse in Austin · ★4.97 · 1 bedroom · 2 beds · 1 bath,14156,Amy,,78704,30.26034,-97.76487,Entire home/apt,159,3,305,9/4/2023,2.09,1,156,17,
8502,Guest suite in Austin · ★4.56 · 1 bedroom · 1 bed · 1 bath,25298,Karen,,78741,30.23466,-97.73682,Entire home/apt,48,4,51,5/16/2023,0.31,1,98,3,
13035,Home in Austin · ★5.0 · 2 bedrooms · 2 beds · 2 baths,50793,Molly,,78702,30.26098,-97.73072,Entire home/apt,123,30,18,6/19/2023,0.12,2,162,2,
18258,Bungalow in Austin · ★5.0 · 3 bedrooms · 2 beds · 2 baths,39458,Billy,,78745,30.19756,-97.78754,Entire home/apt,107,3,15,8/18/2023,1.4,1,3,15,
22828,Guesthouse in Austin · ★4.94 · 1 bedroom · 1 bed · 1 bath,56488,David,,78741,30.23614,-97.73225,Entire home/apt,65,30,51,8/15/2023,0.31,1,320,3,
22982,Guesthouse in Austin · ★4.91 · 2 bedrooms · 2 beds · 1 bath,89031,Gina,,78703,30.28074,-97.75381,Entire home/apt,250,1,166,1/2/2023,1.01,1,125,2,
25028,Bungalow in Austin · ★4.94 · 2 bedrooms · 2 beds · 1 bath,102862,Elana,,78757,30.33771,-97.73708,Entire home/apt,180,7,35,7/28/2021,0.21,2,51,0,
37324,Home in Austin · ★4.87 · 1 bedroom · 1 bed · 1 bath,161189,Chris,,78727,30.42895,-97.68958,Private room,33,30,39,7/14/2023,0.39,1,175,1,
40285,Home in Austin · ★4.92 · 2 bedrooms · 2 beds · 2 baths,170787,Robbie,,78731,30.35123,-97.76207,Entire home/apt,450,2,39,6/10/2023,0.26,1,356,4,
47572,Home in Austin · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,215917,Belinda,,78758,30.37783,-97.70749,Private room,43,30,8,8/19/2023,0.15,1,344,2,
50318,Condo in Austin · ★4.88 · 2 bedrooms · 3 beds · 1 bath,12409,Flip,,78705,30.28588,-97.75145,Entire home/apt,101,30,35,7/18/2023,0.22,2,270,2,
57187,Guesthouse in Austin · ★4.91 · 1 bedroom · 3 beds · 1 bath,272156,Lois,,78704,30.25756,-97.76995,Entire home/apt,106,1,1003,9/4/2023,6.49,2,306,85,
69303,Condo in Austin · ★4.96 · 1 bedroom · 2 beds · 1.5 baths,272156,Lois,,78704,30.26146,-97.77276,Entire home/apt,154,1,224,8/15/2023,1.49,2,312,31,
