id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
505101,Unique neighborhood cottage,2490712,Stacie,,Bozeman,45.67934,-111.04756,Entire home/apt,160,3,207,1/21/2023,1.63,1,204,36,
1030274,"Simple, Soulful Living",3998203,Nancy Sophia,,Bozeman,45.68884,-111.07452,Entire home/apt,150,5,16,12/9/2022,0.18,1,34,1,
1913774,Downtown Bozeman Vacation Rental,9892898,Brian,,Bozeman,45.68399,-111.03989,Entire home/apt,118,3,382,12/18/2022,3.4,1,247,36,
1950545,Northside Hideaway,8224408,Paul,,Bozeman,45.6843,-111.03167,Entire home/apt,198,3,35,10/26/2022,0.33,21,325,8,
2390321,2 Blocks 2 Main,7849959,Irene,,Bozeman,45.67429,-111.03419,Entire home/apt,150,3,41,1/1/2023,0.5,2,352,3,
2536175,Modern Home Near Campus & Downtown,8287259,Kris And Alex,,Bozeman,45.66459,-111.0391,Entire home/apt,228,3,242,1/31/2023,2.31,1,331,34,
2839082,"Charming downtown home, Bogart park",1577112,Zack,,Bozeman,45.67517,-111.03342,Entire home/apt,514,2,63,10/2/2022,0.72,1,362,6,
4008507,"The Loft: private entry, kitchen & bath, near MSU",20738079,Lori,,Bozeman,45.66932,-111.04256,Entire home/apt,148,1,182,1/26/2023,1.95,1,294,45,
4116964,"Bozeman Trails, 2 min to downtown.",7722453,Rachel,,Bozeman,45.65909,-111.01448,Private room,82,4,71,10/20/2022,0.7,3,90,10,
4134363,Winter discount 60% off (29 days +) thru May 2023,21447984,Sharon,,Bozeman,45.67024,-111.0412,Entire home/apt,265,4,81,10/3/2022,0.81,1,232,9,
6662056,Modern Loft-House: Big Sky Country,34871220,Ehson,,Bozeman,45.66051,-111.02333,Entire home/apt,399,3,148,2/5/2023,1.63,1,0,25,
6783856,Remote Worker's Dream,35514344,Janette,,Bozeman,45.67985,-111.08666,Entire home/apt,175,28,15,3/7/2021,0.16,1,362,0,
6800497,Your Private Suite 1 block from heart of Downtown,16264310,Kent,,Bozeman,45.67852,-111.0348,Entire home/apt,164,2,302,1/13/2023,3.49,1,334,57,
6881306,Downtown Victorian Apartment - Little Pink Houses,36057505,Kathi,,Bozeman,45.68118,-111.03996,Entire home/apt,136,29,56,11/3/2022,0.84,1,128,6,
6970499,Downtown Red Chair Retreat,36548325,Doug,,Bozeman,45.68094,-111.04362,Entire home/apt,76,3,325,1/20/2023,3.74,2,37,33,
7478471,Beautiful Custom Home in Bozeman,3492039,Dan,,Bozeman,45.64901,-111.0534,Entire home/apt,539,5,11,12/31/2018,0.13,1,233,0,
7480329,"Near Downtown, For Extended Stays - 30 days min.",3437116,Jill,,Bozeman,45.67166,-111.03128,Entire home/apt,187,14,9,12/12/2021,0.11,1,213,0,
7694423,Heron's Nest,40166238,Sunny,,Bozeman,45.68181,-111.0953,Entire home/apt,114,28,27,10/10/2022,0.3,2,354,12,
7809335,Modern Farmhouse in Historic Downtown Bozeman,18706726,Otto,,Bozeman,45.67271,-111.03633,Entire home/apt,899,3,59,8/28/2022,0.66,1,211,3,
