id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
57818,Home in Hollywood · ★4.63 · 2 bedrooms · 2 beds · 1 bath,275948,Von Inc,,Hollywood,26.01859,-80.1243,Entire home/apt,190,32,58,3/31/2023,0.44,2,283,1,
69824,Rental unit in Hallandale · ★4.0 · 2 bedrooms · 4 beds · 2 baths,351303,Tracy,,Hallandale Beach,25.97641,-80.12052,Entire home/apt,140,30,5,6/3/2023,0.07,2,281,2,
83449,Rental unit in Dania Beach · ★4.77 · 2 bedrooms · 3 beds · 1 bath,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,86,5,31,8/20/2023,0.21,14,15,10,
105411,Rental unit in Southwest Ranches · ★5.0 · 3 bedrooms · 3 beds · 2 baths,532930,Sonia,,Southwest Ranches,26.0475,-80.36668,Entire home/apt,235,4,5,3/28/2018,0.04,1,364,0,
129099,Condo in Hollywood · ★4.29 · 1 bedroom · 2 beds · 1.5 baths,637272,Bianca,,Hollywood,25.99414,-80.11814,Entire home/apt,225,20,27,7/1/2022,0.18,5,334,0,
216046,Home in Hollywood · ★4.81 · 4 bedrooms · 7 beds · 3 baths,964836,Gary,,Hollywood,26.0077,-80.19722,Entire home/apt,204,3,104,9/4/2023,0.73,1,267,15,
217990,Rental unit in Hollywood · ★4.93 · 1 bedroom · 1 bed · 1.5 baths,637272,Bianca,,Hollywood,25.99398,-80.11677,Entire home/apt,250,10,18,3/19/2018,0.12,5,350,0,
191160,Rental unit in Deerfield Beach · ★4.25 · 1 bedroom · 2 beds · 1 bath,924482,Dan,,Deerfield Beach,26.30707,-80.07793,Entire home/apt,119,2,25,11/8/2019,0.18,1,179,0,
241944,Rental unit in Dania Beach · ★4.55 · 1 bedroom · 2 beds · 1 bath,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,70,7,12,3/29/2023,0.09,14,0,2,
308839,Guest suite in Miramar · ★4.96 · 1 bedroom · 1 bed · 1 private bath,1585064,Deborah,,Miramar,25.98766,-80.31598,Private room,90,180,49,2/25/2023,0.35,2,215,2,
256386,Home in Hollywood · ★4.84 · 2 bedrooms · 2 beds · 1 bath,1304156,Nicolas,,Hollywood,26.02584,-80.14191,Entire home/apt,87,2,239,7/31/2023,1.67,4,329,28,
325734,Home in Hollywood · ★4.78 · Studio · 1 bed · 1 bath,1304156,Nicolas,,Hollywood,26.0257,-80.14105,Entire home/apt,54,2,205,9/9/2023,1.59,4,355,37,
349538,Serviced apartment in Fort Lauderdale · ★4.67 · 1 bedroom · 3 beds · 1 bath,1770887,Chris,,Fort Lauderdale,26.1373,-80.10543,Entire home/apt,429,2,34,3/17/2023,0.25,21,42,2,
366178,Home in Fort Lauderdale · ★4.79 · 1 bedroom · 1 bed · 1 bath,1848829,Shirley,,Fort Lauderdale,26.12683,-80.13549,Entire home/apt,69,7,33,9/2/2023,0.24,2,231,10,
385837,Bungalow in Fort Lauderdale · ★4.78 · 1 bedroom · 1 bed · 1 bath,1931430,Ana,,Fort Lauderdale,26.11788,-80.15771,Entire home/apt,121,7,44,7/27/2021,0.33,2,90,0,
367815,Condo in Hollywood · ★5.0 · 1 bedroom · 3 beds · 1 bath,238902,Wanda,,Hollywood,26.00741,-80.11596,Entire home/apt,150,90,11,4/1/2019,0.08,1,358,0,
436596,Home in Pompano Beach · 3 bedrooms · 3 beds · 3 baths,2168585,Lou,,Pompano Beach,26.21709,-80.12193,Entire home/apt,385,7,2,1/6/2015,0.02,1,363,0,
393982,Home in Fort Lauderdale · ★4.93 · 1 bedroom · 1 bed · 1 bath,1848829,Shirley,,Fort Lauderdale,26.12676,-80.13657,Entire home/apt,125,7,28,6/29/2023,0.2,2,202,4,
439914,Rental unit in Lauderhill · 2 bedrooms · 3 beds · 2 baths,2185056,Maria,,Lauderhill,26.17396,-80.23305,Entire home/apt,85,360,1,11/1/2012,0.01,1,0,0,
