id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
505101,Home in Bozeman · ★4.97 · 2 bedrooms · 2 beds · 2 baths,2490712,Stacie,,Bozeman,45.67934,-111.04756,Entire home/apt,200,3,219,5/29/2023,1.66,1,280,33,
1913774,Guesthouse in Bozeman · ★4.97 · 1 bedroom · 1 bed · 1 bath,9892898,Brian,,Bozeman,45.68422,-111.03839,Entire home/apt,152,3,417,7/2/2023,3.56,1,253,56,
1950545,Home in Bozeman · ★4.74 · 1 bedroom · 2 beds · 1.5 baths,8224408,Paul,,Bozeman,45.68563,-111.03118,Entire home/apt,198,3,36,6/25/2023,0.32,20,317,3,
2390321,Rental unit in Bozeman · ★4.95 · 1 bedroom · 1 bed · 1 bath,7849959,Irene,,Bozeman,45.67434,-111.0333,Entire home/apt,293,3,43,5/28/2023,0.49,2,340,4,
2536175,Home in Bozeman · ★4.78 · 3 bedrooms · 3 beds · 2 baths,8287259,Kris And Alex,,Bozeman,45.66473,-111.03977,Entire home/apt,329,3,259,6/30/2023,2.36,1,298,34,
2839082,Home in Bozeman · ★4.97 · 2 bedrooms · 2 beds · 1 bath,1577112,Zack,,Bozeman,45.6757,-111.03284,Entire home/apt,486,2,64,5/14/2023,0.7,1,338,4,
2968623,Guesthouse in Bozeman · ★4.95 · 1 bedroom · 1 bed · 1 bath,15146634,Frances,,Bozeman,45.67241,-111.04913,Entire home/apt,126,3,169,6/23/2023,1.74,1,11,16,
4008507,Guest suite in Bozeman · ★4.98 · 1 bedroom · 2 beds · 1 bath,20738079,Lori,,Bozeman,45.66932,-111.04256,Entire home/apt,225,1,199,7/1/2023,2.03,1,292,47,
4116964,Home in Bozeman · ★4.86 · 1 bedroom · 2 beds · 1 private bath,7722453,Rachel,,Bozeman,45.65921,-111.01598,Private room,85,4,73,5/31/2023,0.69,3,40,7,
4134363,Place to stay in Bozeman · ★4.93 · 1 bedroom · 2 beds · 1 bath,21447984,Sharon,,Bozeman,45.67114,-111.04041,Entire home/apt,265,4,82,5/16/2023,0.78,2,248,7,
4407200,Townhouse in Bozeman · ★4.66 · 3 bedrooms · 5 beds · 2 baths,22877888,Shaun & Nathalie,,Bozeman,45.73038,-111.06779,Entire home/apt,210,2,136,6/25/2023,1.29,1,151,11,
4501520,Rental unit in Bozeman · ★4.91 · 1 bedroom · 1 bed · 1 bath,11480959,Pamela,,Bozeman,45.69116,-111.00181,Entire home/apt,98,7,33,3/28/2023,0.39,1,297,8,
6662056,Home in Bozeman · ★4.83 · 4 bedrooms · 5 beds · 2.5 baths,34871220,Ehson,,Bozeman,45.65955,-111.02278,Entire home/apt,399,3,153,5/14/2023,1.59,1,310,20,
