id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
505101,Home in Bozeman · ★4.97 · 2 bedrooms · 2 beds · 2 baths,2490712,Stacie,,Bozeman,45.67934,-111.04756,Entire home/apt,161,3,217,5/21/2023,1.66,1,260,32,
1913774,Guesthouse in Bozeman · ★4.97 · 1 bedroom · 1 bed · 1 bath,9892898,Brian,,Bozeman,45.68399,-111.03989,Entire home/apt,162,3,409,6/3/2023,3.52,1,252,48,
1950545,Home in Bozeman · ★4.73 · 1 bedroom · 2 beds · 1.5 baths,8224408,Paul,,Bozeman,45.6843,-111.03167,Entire home/apt,177,3,35,10/26/2022,0.32,20,308,3,
2390321,Rental unit in Bozeman · ★4.95 · 1 bedroom · 1 bed · 1 bath,7849959,Irene,,Bozeman,45.67429,-111.03419,Entire home/apt,300,3,42,5/15/2023,0.49,2,347,4,
2536175,Home in Bozeman · ★4.78 · 3 bedrooms · 3 beds · 2 baths,8287259,Kris And Alex,,Bozeman,45.66459,-111.0391,Entire home/apt,229,3,254,5/28/2023,2.33,1,286,32,
2839082,Home in Bozeman · ★4.97 · 2 bedrooms · 2 beds · 1 bath,1577112,Zack,,Bozeman,45.67517,-111.03342,Entire home/apt,464,2,64,5/14/2023,0.7,1,327,5,
2968623,Guesthouse in Bozeman · ★4.95 · 1 bedroom · 1 bed · 1 bath,15146634,Frances,,Bozeman,45.67236,-111.04979,Entire home/apt,125,3,168,5/27/2023,1.75,1,46,17,
4008507,Guest suite in Bozeman · ★4.98 · 1 bedroom · 2 beds · 1 bath,20738079,Lori,,Bozeman,45.66932,-111.04256,Entire home/apt,203,1,193,5/24/2023,1.98,1,282,44,
4116964,Home in Bozeman · ★4.86 · 1 bedroom · 2 beds · 1 private bath,7722453,Rachel,,Bozeman,45.65909,-111.01448,Private room,98,4,73,5/31/2023,0.69,3,34,7,
4134363,Place to stay in Bozeman · ★4.93 · 1 bedroom · 2 beds · 1 bath,21447984,Sharon,,Bozeman,45.6702,-111.04073,Entire home/apt,265,4,82,5/16/2023,0.79,1,222,10,
6662056,Home in Bozeman · ★4.83 · 4 bedrooms · 5 beds · 2.5 baths,34871220,Ehson,,Bozeman,45.66051,-111.02333,Entire home/apt,399,3,153,5/14/2023,1.61,1,292,23,
6783856,Townhouse in Bozeman · ★4.93 · 2 bedrooms · 2 beds · 2 baths,35514344,Janette,,Bozeman,45.67985,-111.08666,Entire home/apt,175,28,15,3/7/2021,0.15,1,279,0,
6800497,Guesthouse in Bozeman · ★4.91 · 1 bedroom · 3 beds · 1 bath,16264310,Kent,,Bozeman,45.67852,-111.0348,Entire home/apt,205,2,313,6/4/2023,3.46,1,308,46,
6881306,Rental unit in Bozeman · ★4.84 · 1 bedroom · 1 bed · 1 bath,36057505,Kathi,,Bozeman,45.68118,-111.03996,Entire home/apt,136,29,56,11/3/2022,0.79,1,124,5,
6970499,Rental unit in Bozeman · ★4.87 · 1 bedroom · 2 beds · 1 bath,36548325,Doug,,Bozeman,45.68094,-111.04362,Entire home/apt,158,3,335,5/31/2023,3.69,2,41,29,
7480329,Condo in Bozeman · ★5.0 · 2 bedrooms · 2 beds · 2 baths,3437116,Jill,,Bozeman,45.67166,-111.03128,Entire home/apt,187,14,9,12/12/2021,0.11,1,299,0,
7694423,Guesthouse in Bozeman · ★4.85 · 1 bedroom · 1 bed · 1 bath,40166238,Sunny,,Bozeman,45.68181,-111.0953,Entire home/apt,218,28,28,2/26/2023,0.29,2,339,7,
7809335,Home in Bozeman · ★4.95 · 2 bedrooms · 3 beds · 1.5 baths,18706726,Otto,,Bozeman,45.67271,-111.03633,Entire home/apt,699,3,59,8/28/2022,0.63,1,250,2,
7855037,Townhouse in Bozeman · ★4.94 · 3 bedrooms · 3 beds · 2.5 baths,14843944,Laura,,Bozeman,45.70654,-111.0227,Entire home/apt,299,2,149,5/14/2023,1.59,1,293,13,
8016791,Home in Bozeman · ★4.99 · 4 bedrooms · 5 beds · 2 baths,19523133,Pele,,Bozeman,45.68367,-111.03269,Entire home/apt,353,2,160,5/25/2023,1.82,2,201,23,
8131484,Rental unit in Bozeman · ★4.91 · 1 bedroom · 2 beds · 1 bath,42939495,Mary,,Bozeman,45.67562,-111.05268,Entire home/apt,165,3,182,5/20/2023,2.04,1,246,23,
8248642,Condo in Bozeman · ★4.98 · 2 bedrooms · 5 beds · 2 baths,23268299,Jenny,,Bozeman,45.67866,-111.0223,Entire home/apt,295,3,46,5/14/2023,0.62,1,231,10,
8471627,Rental unit in Bozeman · ★4.93 · 2 bedrooms · 3 beds · 1 bath,44596719,Jade,,Bozeman,45.68157,-111.03424,Entire home/apt,259,1,617,6/5/2023,8.07,2,265,99,
8522409,Guesthouse in Bozeman · ★4.98 · 2 bedrooms · 2 beds · 1 bath,44874042,Amy,,Bozeman,45.67903,-111.10261,Entire home/apt,175,3,233,5/20/2023,2.7,1,288,32,
8616625,Home in Bozeman · ★4.91 · 3 bedrooms · 4 beds · 2 baths,32568100,Andrew,,Bozeman,45.67499,-111.04641,Entire home/apt,205,2,174,5/21/2023,1.88,1,86,23,
9131418,Home in Bozeman · ★5.0 · 3 bedrooms · 3 beds · 2 baths,7722453,Rachel,,Bozeman,45.66121,-111.01632,Entire home/apt,356,10,3,6/25/2021,0.05,3,62,0,
9588650,Rental unit in Bozeman · ★4.97 · 2 bedrooms · 1 bed · 1 bath,49630888,Amy,,Bozeman,45.682587,-111.041031,Entire home/apt,197,1,446,6/3/2023,4.88,1,166,30,
9615182,Hostel in Bozeman · ★4.67 · 1 bedroom · 6 beds · 2 shared baths,49746531,Nina,,Bozeman,45.6801,-111.03611,Hotel room,31,1,293,5/21/2023,3.2,5,312,60,
9615473,Hostel in Bozeman · ★4.59 · 1 bedroom · 1 bed · 2 shared baths,49746531,Nina,,Bozeman,45.67899,-111.03531,Hotel room,51,1,204,5/15/2023,2.28,5,257,48,
9739788,Hostel in Bozeman · ★4.52 · 1 bedroom · 4 beds · 2 shared baths,49746531,Nina,,Bozeman,45.67957,-111.03632,Hotel room,40,1,161,5/21/2023,1.93,5,326,41,
9740033,Hostel in Bozeman · ★4.62 · 1 bedroom · 3 beds · 2 shared baths,49746531,Nina,,Bozeman,45.67906,-111.03545,Shared room,30,1,76,5/16/2023,0.87,5,340,8,
9882706,Home in Bozeman · ★4.83 · 3 bedrooms · 3 beds · 2 baths,50844446,Jaymie,,Bozeman,45.71358,-111.08007,Entire home/apt,245,7,6,9/26/2022,0.52,2,252,6,
10194083,Home in Bozeman · ★4.99 · 2 bedrooms · 2 beds · 1 bath,52362737,Terra,,Bozeman,45.67552,-111.03353,Entire home/apt,249,3,114,2/27/2023,1.31,1,109,12,
10282173,Home in Bozeman · 2 bedrooms · 2 beds · 1 bath,8979185,Laura,,Bozeman,45.67211,-111.04605,Entire home/apt,275,30,1,1/30/2023,0.23,1,169,1,
10616342,Hostel in Bozeman · ★4.64 · 1 bedroom · 1 bed · 2 shared baths,49746531,Nina,,Bozeman,45.67908,-111.03689,Hotel room,73,1,123,5/8/2023,1.44,5,256,50,
