id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
505101,Home in Bozeman · ★4.97 · 2 bedrooms · 2 beds · 2 baths,2490712,Stacie,,Bozeman,45.67934,-111.04756,Entire home/apt,208,3,231,9/23/2023,1.71,1,276,34,
1913774,Guesthouse in Bozeman · ★4.97 · 1 bedroom · 1 bed · 1 bath,9892898,Brian,,Bozeman,45.68422,-111.03839,Entire home/apt,148,3,442,9/29/2023,3.68,1,293,69,
1950545,Home in Bozeman · ★4.74 · 1 bedroom · 2 beds · 1.5 baths,8224408,Paul,,Bozeman,45.68563,-111.03118,Entire home/apt,208,3,37,9/2/2023,0.32,22,355,3,
2390321,Rental unit in Bozeman · ★4.95 · 1 bedroom · 1 bed · 1 bath,7849959,Irene,,Bozeman,45.67434,-111.0333,Entire home/apt,175,3,43,5/28/2023,0.48,2,162,4,
2536175,Home in Bozeman · ★4.77 · 3 bedrooms · 3 beds · 2 baths,8287259,Kris And Alex,,Bozeman,45.66473,-111.03977,Entire home/apt,160,3,267,9/4/2023,2.36,1,302,35,
2839082,Home in Bozeman · ★4.97 · 2 bedrooms · 2 beds · 1 bath,1577112,Zack,,Bozeman,45.6757,-111.03284,Entire home/apt,493,3,66,8/22/2023,0.69,1,360,3,
2968623,Guesthouse in Bozeman · ★4.94 · 1 bedroom · 1 bed · 1 bath,15146634,Frances,,Bozeman,45.67241,-111.04913,Entire home/apt,125,3,174,8/31/2023,1.74,1,156,12,
3372306,Home in Bozeman · ★4.88 · 2 bedrooms · 2 beds · 1 bath,190138,Anna,,Bozeman,45.68444,-111.04357,Entire home/apt,199,30,67,5/27/2019,0.61,1,250,0,
4008507,Guest suite in Bozeman · ★4.99 · 1 bedroom · 2 beds · 1 bath,20738079,Lori,,Bozeman,45.66932,-111.04256,Entire home/apt,199,1,217,10/5/2023,2.14,1,329,45,
4116964,Home in Bozeman · ★4.86 · 1 bedroom · 2 beds · 1 private bath,7722453,Rachel,,Bozeman,45.65921,-111.01598,Private room,106,5,73,5/31/2023,0.67,3,65,4,
4134363,Place to stay in Bozeman · ★4.93 · 1 bedroom · 2 beds · 1 bath,21447984,Sharon,,Bozeman,45.67114,-111.04041,Entire home/apt,265,4,87,8/24/2023,0.8,2,260,6,
4407200,Townhouse in Bozeman · ★4.69 · 3 bedrooms · 5 beds · 2 baths,22877888,Shaun & Nathalie,,Bozeman,45.73038,-111.06779,Entire home/apt,202,2,146,9/20/2023,1.35,2,166,14,
4778710,Home in Bozeman · 3 bedrooms · 2 beds · 2 baths,14101343,Steve & Ellie,,Bozeman,45.68605,-111.07734,Entire home/apt,139,3,0,,,1,1,0,
6662056,Home in Bozeman · ★4.82 · 4 bedrooms · 5 beds · 2.5 baths,34871220,Ehson,,Bozeman,45.65955,-111.02278,Entire home/apt,349,3,161,9/24/2023,1.62,1,328,20,
6783856,Townhouse in Bozeman · ★4.93 · 2 bedrooms · 2 beds · 2 baths,35514344,Janette,,Bozeman,45.679,-111.08748,Entire home/apt,175,28,15,3/7/2021,0.15,1,363,0,
6800497,Guesthouse in Bozeman · ★4.91 · 1 bedroom · 3 beds · 1 bath,16264310,Kent,,Bozeman,45.67712,-111.03485,Entire home/apt,174,2,329,10/2/2023,3.48,1,356,38,
6881306,Rental unit in Bozeman · ★4.84 · 1 bedroom · 1 bed · 1 bath,36057505,Kathi,,Bozeman,45.68133,-111.03998,Entire home/apt,136,29,58,9/24/2023,0.77,1,179,3,
6970499,Rental unit in Bozeman · ★4.87 · 1 bedroom · 2 beds · 1 bath,36548325,Doug,,Bozeman,45.68185,-111.04333,Entire home/apt,96,3,345,9/23/2023,3.63,2,31,27,
7480329,Condo in Bozeman · ★5.0 · 2 bedrooms · 2 beds · 2 baths,3437116,Jill,,Bozeman,45.6724,-111.02983,Entire home/apt,200,14,10,6/24/2023,0.12,1,47,1,
7694423,Guesthouse in Bozeman · ★4.86 · 1 bedroom · 1 bed · 1 bath,40166238,Sunny,,Bozeman,45.68181,-111.0953,Entire home/apt,232,28,29,8/31/2023,0.29,2,348,3,
7809335,Home in Bozeman · ★4.93 · 2 bedrooms · 3 beds · 1.5 baths,18706726,Otto,,Bozeman,45.674126,-111.0368138,Entire home/apt,299,3,61,9/8/2023,0.62,1,100,2,
7855037,Townhouse in Bozeman · ★4.94 · 3 bedrooms · 3 beds · 2.5 baths,14843944,Laura,,Bozeman,45.70622,-111.02272,Entire home/apt,299,2,158,9/19/2023,1.62,1,315,18,
8016791,Home in Bozeman · ★4.99 · 4 bedrooms · 5 beds · 2 baths,19523133,Pele,,Bozeman,45.68377,-111.03245,Entire home/apt,287,2,173,10/2/2023,1.88,2,208,25,
8131484,Rental unit in Bozeman · ★4.92 · 1 bedroom · 2 beds · 1 bath,42939495,Mary,,Bozeman,45.67359,-111.05386,Entire home/apt,165,3,192,10/2/2023,2.05,1,290,25,
8248642,Condo in Bozeman · ★4.98 · 2 bedrooms · 5 beds · 2 baths,23268299,Jenny,,Bozeman,45.68012,-111.02441,Entire home/apt,295,3,47,6/19/2023,0.6,1,220,9,
8471627,Rental unit in Bozeman · ★4.93 · 2 bedrooms · 3 beds · 1 bath,44596719,Jade,,Bozeman,45.68311,-111.03599,Entire home/apt,171,1,667,10/2/2023,8.28,2,309,98,
8522409,Guesthouse in Bozeman · ★4.98 · 2 bedrooms · 2 beds · 1 bath,44874042,Amy,,Bozeman,45.67865,-111.10087,Entire home/apt,188,3,249,9/18/2023,2.76,1,345,34,
8616625,Home in Bozeman · ★4.91 · 3 bedrooms · 4 beds · 2 baths,32568100,Andrew,,Bozeman,45.67505,-111.04803,Entire home/apt,185,2,190,9/30/2023,1.97,1,58,32,
9131418,Home in Bozeman · ★5.0 · 3 bedrooms · 2 beds · 2 baths,7722453,Rachel,,Bozeman,45.66065,-111.01486,Entire home/apt,382,7,4,7/21/2023,0.06,3,86,1,
9588650,Rental unit in Bozeman · ★4.97 · 2 bedrooms · 1 bed · 1 bath,49630888,Amy,,Bozeman,45.682587,-111.041031,Entire home/apt,155,1,471,10/1/2023,4.93,1,235,37,
9615182,Hostel in Bozeman · ★4.66 · 1 bedroom · 6 beds · 2 shared baths,49746531,Nina,,Bozeman,45.679,-111.03686,Hotel room,27,1,313,9/13/2023,3.28,5,167,54,
9615473,Hostel in Bozeman · ★4.58 · 1 bedroom · 1 bed · 2 shared baths,49746531,Nina,,Bozeman,45.68,-111.03583,Hotel room,51,1,211,9/16/2023,2.25,5,151,36,
