id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
7101,Home in Rochester · ★4.91 · 1 bedroom · 1 bed · 2 shared baths,17623,M J,,E,43.14943,-77.58386,Private room,55,3,318,7/23/2023,1.84,2,113,7,
23395,Home in Rochester · ★4.89 · 1 bedroom · 1 bed · 1.5 shared baths,91495,Moritz,,E,43.17163,-77.5624,Private room,49,3,140,9/30/2023,0.88,3,324,3,
68229,Home in Rochester · ★4.44 · 1 bedroom · 1 bed · 2 shared baths,337741,RocHostel,,E,43.16655,-77.56414,Private room,31,2,136,10/3/2023,0.89,13,85,9,
223778,Home in Rochester · ★4.89 · 1 bedroom · 1 bed · 1.5 baths,1163567,David,,S,43.13899,-77.62486,Private room,45,91,81,8/24/2021,0.55,18,296,0,
261943,Home in Rochester · ★4.99 · 1 bedroom · 1 bed · 1 private bath,1374240,Greg & Spencer,,E,43.147,-77.57974,Private room,86,1,140,10/22/2023,1.78,1,116,36,
533609,Rental unit in Rochester · ★4.68 · 1 bedroom · 1 bed · 1 bath,1163567,David,,S,43.13755,-77.6238,Entire home/apt,65,28,47,4/4/2021,0.36,18,68,0,
758778,Home in Rochester · ★4.88 · 1 bedroom · 2 beds · 1.5 shared baths,91495,Moritz,,E,43.17029,-77.56262,Private room,45,3,51,10/17/2023,0.39,3,240,4,
1142940,Home in Rochester · ★4.74 · 3 bedrooms · 3 beds · 1 bath,1163567,David,,S,43.13792,-77.62389,Entire home/apt,120,31,112,2/22/2020,0.92,18,296,0,
1404315,Home in Rochester · ★4.90 · 1 bedroom · 1 bed · 2 shared baths,17623,M J,,E,43.14841,-77.58356,Private room,51,2,137,10/16/2023,1.1,2,273,16,
1516053,Home in Rochester · ★4.74 · 1 bedroom · 1 bed · 1.5 shared baths,8094422,Amanda,,E,43.12931,-77.6025,Private room,55,28,23,8/31/2023,0.19,3,316,1,
1636325,Rental unit in Rochester · ★4.93 · 1 bedroom · 1 bed · 1 bath,5007838,Ed & Tom,,E,43.1489,-77.57423,Entire home/apt,125,14,15,9/2/2023,0.14,3,160,4,
1737756,Rental unit in Rochester · ★4.93 · 1 bedroom · 1 bed · 1 bath,5007838,Ed & Tom,,E,43.149612,-77.573952,Entire home/apt,90,21,15,2/11/2023,0.15,3,81,3,
2175443,Rental unit in Rochester · ★4.74 · 2 bedrooms · 4 beds · 1 bath,11096005,David,,E,43.14688,-77.59703,Entire home/apt,110,4,342,8/27/2023,2.96,3,331,3,
2406456,Loft in Rochester · ★4.95 · 1 bedroom · 1 bed · 1 bath,12300587,Frankie,,S,43.14641,-77.61702,Entire home/apt,99,2,21,11/13/2016,0.19,2,202,0,
3583350,Home in Rochester · ★4.54 · 3 bedrooms · 3 beds · 1.5 baths,11773423,Amy,,E,43.14103,-77.55864,Entire home/apt,275,3,66,10/10/2023,0.59,1,354,3,
3737087,Home in Rochester · ★4.94 · 1 bedroom · 1 bed · 1.5 shared baths,8094422,Amanda,,S,43.12063,-77.62418,Private room,52,28,33,7/17/2023,0.3,3,204,3,
3990025,Home in Rochester · ★4.90 · 2 bedrooms · 2 beds · 1.5 baths,20619742,Heather,,S,43.1427,-77.61008,Entire home/apt,150,1,177,5/7/2023,1.8,1,168,1,
4564775,Home in Rochester · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,23592199,Maria,,E,43.14891,-77.58599,Entire home/apt,654,3,4,11/22/2018,0.04,2,363,0,
4622181,Home in Rochester · ★4.90 · 2 bedrooms · 2 beds · 1 bath,1163567,David,,S,43.13828,-77.62356,Entire home/apt,90,22,30,5/9/2020,0.28,18,296,0,
4793973,Home in Rochester · ★4.90 · 2 bedrooms · 3 beds · 1 bath,7187037,Anna,,E,43.13813,-77.59181,Entire home/apt,163,9,232,9/18/2023,2.65,1,145,8,
4912647,Rental unit in Rochester · ★4.92 · 1 bedroom · 2 beds · 1.5 baths,17557180,Michael And Laura,,S,43.13722,-77.61572,Entire home/apt,99,2,429,10/22/2023,4.13,4,56,39,
5120343,Rental unit in Rochester · ★4.79 · 3 bedrooms · 4 beds · 1 bath,1163567,David,,S,43.13809,-77.6257,Entire home/apt,120,31,168,3/1/2020,1.59,18,164,0,
6065988,Home in Rochester · ★4.90 · 2 bedrooms · 2 beds · 1.5 baths,5068368,Carly,,S,43.14055,-77.60132,Entire home/apt,200,1,60,5/21/2023,0.59,2,146,3,
6535224,Home in Rochester · ★4.98 · 1 bedroom · 1 bed · 1.5 shared baths,5068368,Carly,,S,43.13951,-77.60086,Private room,60,1,48,9/10/2023,0.55,2,113,8,
6624762,Rental unit in Rochester · ★4.94 · 1 bedroom · 1 bed · 1 bath,5007838,Ed & Tom,,E,43.14961,-77.57395,Entire home/apt,125,21,18,12/18/2021,0.18,3,80,0,
7240316,Condo in Rochester · ★4.93 · 1 bedroom · 1 bed · 1 private bath,37908208,Joshua,,E,43.15063,-77.57668,Private room,60,2,94,9/23/2023,0.95,1,322,4,
7293053,Rental unit in Rochester · ★4.86 · 1 bedroom · 1 bed · 1 bath,23964862,Michael,,E,43.15388,-77.58126,Entire home/apt,73,3,167,10/8/2023,1.69,1,345,20,
8172308,Rental unit in Rochester · ★4.92 · 2 bedrooms · 3 beds · 1.5 baths,42386445,Lisa,,E,43.15818,-77.59099,Entire home/apt,147,1,332,10/9/2023,3.36,1,119,25,
8173194,Rental unit in Rochester · ★4.79 · 2 bedrooms · 2 beds · 1 bath,1163567,David,,S,43.13674,-77.62446,Entire home/apt,85,31,72,5/31/2021,0.73,18,175,0,
8353332,Home in Rochester · ★4.90 · 1 bedroom · 2 beds · 2 shared baths,977481,Laura,,E,43.14622,-77.59575,Private room,55,2,178,10/15/2023,1.82,1,344,26,
8406406,Home in Rochester · ★4.63 · 1 bedroom · 1 bed · 1.5 baths,44284388,Paul,,S,43.12661,-77.63866,Private room,55,1,40,10/16/2023,0.41,3,154,5,
8406450,Home in Rochester · ★4.78 · 1 bedroom · 1 bed · 1.5 shared baths,44284388,Paul,,S,43.12555,-77.6373,Private room,65,1,55,5/27/2023,0.56,3,296,2,
