id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8357,Dome in Aptos · ★4.88 · 1 bedroom · 2 beds · 1 bath,24281,Kitty And Michael,,Unincorporated Areas,37.00939,-121.88547,Entire home/apt,166,2,1838,9/24/2023,10.64,2,123,115,
11879,Home in Aptos · ★4.81 · 1 bedroom · 1 bed · 1 shared bath,44764,Steven,,Unincorporated Areas,36.98048,-121.88129,Private room,75,3,97,8/17/2023,0.61,2,169,12,
24548,Guest suite in Santa Cruz · ★4.93 · 1 bedroom · 1 bed · 1 bath,99532,Kerstin,,City of Santa Cruz,36.97191,-121.99735,Entire home/apt,126,1,554,9/20/2023,3.39,1,9,28,
31721,Cottage in Santa Cruz · ★4.72 · 1 bedroom · 1 bed · 1 bath,136376,Annie,,City of Capitola,36.95849,-121.97207,Entire home/apt,204,4,355,9/24/2023,2.69,2,336,62,
37791,Rental unit in Santa Cruz · ★4.58 · 1 bedroom · 1 bed · 1 bath,162553,Katie,,City of Santa Cruz,36.97425,-122.00706,Entire home/apt,96,31,90,11/17/2014,0.56,1,282,0,
43785,Home in Santa Cruz · ★4.88 · 1 bedroom · 2 beds · 1 private bath,191477,Caroline,,City of Santa Cruz,36.97774,-122.03403,Private room,101,2,575,9/17/2023,3.61,1,336,46,
54948,Bungalow in Santa Cruz · ★4.91 · 1 bedroom · 2 beds · 1 bath,258675,Terry & Clint,,City of Santa Cruz,36.96788,-122.011841,Entire home/apt,299,4,123,4/3/2022,0.78,2,12,0,
72288,Cottage in Felton · ★4.73 · 1 bedroom · 2 beds · 1.5 baths,366768,Cynthia,,Unincorporated Areas,37.08876,-122.04489,Entire home/apt,231,1,709,9/4/2023,4.65,1,227,23,
126012,Cabin in Corralitos · ★4.91 · 1 bedroom · 1 bed · 1 bath,625642,Mary Jane,,Unincorporated Areas,37.03283,-121.827,Entire home/apt,158,1,681,9/9/2023,4.57,2,304,80,
153903,Treehouse in Watsonville · ★4.89 · 1 bedroom · 1 bed · 1 bath,625642,Mary Jane,,Unincorporated Areas,37.03054,-121.8258,Entire home/apt,168,1,963,9/10/2023,6.48,2,132,81,
