id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2441,Home in Minneapolis · ★4.80 · 1 bedroom · 1 bed · 1 bath,2680,Emily,,Hennepin,45.00862,-93.23424,Entire home/apt,121,1,307,9/10/2023,1.81,2,35,9,STR-111974
4534,Home in Minneapolis · ★4.88 · 2 bedrooms · 2 beds · 1 private bath,5811,Rachel,,Hennepin,44.94549,-93.35586,Private room,58,2,218,8/20/2023,1.35,2,349,13,
27319,Home in Minneapolis · ★4.78 · 2 bedrooms · 2 beds · 1 shared bath,117283,Keith,,Hennepin,44.92016,-93.22899,Private room,64,2,185,8/9/2023,1.17,2,346,4,Exempt
82439,Home in Minneapolis · ★4.96 · 2 bedrooms · 2 beds · 1 private bath,117283,Keith,,Hennepin,44.91995,-93.23011,Private room,64,2,57,7/27/2023,0.38,2,349,21,Exempt
166024,Home in Minneapolis · ★4.98 · 5 bedrooms · 5 beds · 4 baths,746911,Marcel,,Hennepin,44.98274,-93.36458,Entire home/apt,525,4,45,8/28/2023,1.44,1,310,18,
166927,Home in Minneapolis · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,795329,Shannyn,,Hennepin,45.01615,-93.31824,Private room,125,2,44,1/21/2016,0.32,1,0,0,
176709,Home in St Paul · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,688403,Delia,,Ramsey,44.97483,-93.19141,Private room,75,2,32,9/2/2023,0.25,3,358,4,20180004569
178017,Home in Minneapolis · ★4.78 · 1 bedroom · 2 beds · 1 bath,540710,Leticia,,Hennepin,44.9436,-93.24872,Entire home/apt,70,30,28,1/2/2023,0.26,1,141,1,STR-400618
195230,Guest suite in St Paul · ★4.87 · 1 bedroom · 3 beds · 1.5 baths,949211,Lydia,,Ramsey,44.94764,-93.1716,Private room,47,1,347,9/9/2023,5.08,2,129,58,20180002551
236978,Home in Andover · ★4.92 · 1 bedroom · 1 bed · 1 shared bath,227787,Andrew & Deb,,Anoka,45.21587,-93.35446,Private room,34,1,50,8/31/2023,0.37,2,38,19,
